x_float,tanh_ref,pwl_liu,pwl_v2,ae_liu,ae_v2
-3.324219,-0.997411,-1.000000,-0.915527,0.002589,0.081884
-3.320312,-0.997391,-1.000000,-0.915039,0.002609,0.082352
-3.316406,-0.997371,-1.000000,-0.914551,0.002629,0.082820
-3.312500,-0.997350,-1.000000,-0.914062,0.002650,0.083287
-3.308594,-0.997329,-1.000000,-0.913574,0.002671,0.083755
-3.304688,-0.997308,-1.000000,-0.913086,0.002692,0.084222
-3.300781,-0.997287,-1.000000,-0.912598,0.002713,0.084690
-3.296875,-0.997266,-1.000000,-0.912109,0.002734,0.085157
-3.292969,-0.997245,-1.000000,-0.911621,0.002755,0.085623
-3.289062,-0.997223,-1.000000,-0.911133,0.002777,0.086090
-3.285156,-0.997201,-1.000000,-0.910645,0.002799,0.086557
-3.281250,-0.997179,-1.000000,-0.910156,0.002821,0.087023
-3.277344,-0.997157,-1.000000,-0.909668,0.002843,0.087489
-3.273438,-0.997135,-1.000000,-0.909180,0.002865,0.087955
-3.269531,-0.997112,-1.000000,-0.908691,0.002888,0.088421
-3.265625,-0.997090,-1.000000,-0.908203,0.002910,0.088887
-3.261719,-0.997067,-1.000000,-0.907715,0.002933,0.089352
-3.257812,-0.997044,-1.000000,-0.907227,0.002956,0.089818
-3.253906,-0.997021,-1.000000,-0.906738,0.002979,0.090283
-3.250000,-0.996998,-1.000000,-0.906250,0.003002,0.090748
-3.246094,-0.996974,-1.000000,-0.905762,0.003026,0.091212
-3.242188,-0.996950,-1.000000,-0.905273,0.003050,0.091677
-3.238281,-0.996927,-1.000000,-0.904785,0.003073,0.092141
-3.234375,-0.996902,-1.000000,-0.904297,0.003098,0.092606
-3.230469,-0.996878,-1.000000,-0.903809,0.003122,0.093070
-3.226562,-0.996854,-1.000000,-0.903320,0.003146,0.093533
-3.222656,-0.996829,-1.000000,-0.902832,0.003171,0.093997
-3.218750,-0.996804,-1.000000,-0.902344,0.003196,0.094461
-3.214844,-0.996779,-1.000000,-0.901855,0.003221,0.094924
-3.210938,-0.996754,-1.000000,-0.901367,0.003246,0.095387
-3.207031,-0.996729,-1.000000,-0.900879,0.003271,0.095850
-3.203125,-0.996703,-1.000000,-0.900391,0.003297,0.096312
-3.199219,-0.996677,-1.000000,-0.899902,0.003323,0.096775
-3.195312,-0.996651,-1.000000,-0.899414,0.003349,0.097237
-3.191406,-0.996625,-1.000000,-0.898926,0.003375,0.097699
-3.187500,-0.996599,-1.000000,-0.898438,0.003401,0.098161
-3.183594,-0.996572,-1.000000,-0.897949,0.003428,0.098623
-3.179688,-0.996545,-1.000000,-0.897461,0.003455,0.099084
-3.175781,-0.996518,-1.000000,-0.896973,0.003482,0.099545
-3.171875,-0.996491,-1.000000,-0.896484,0.003509,0.100006
-3.167969,-0.996463,-1.000000,-0.895996,0.003537,0.100467
-3.164062,-0.996436,-1.000000,-0.895508,0.003564,0.100928
-3.160156,-0.996408,-1.000000,-0.895020,0.003592,0.101388
-3.156250,-0.996380,-1.000000,-0.894531,0.003620,0.101848
-3.152344,-0.996351,-1.000000,-0.894043,0.003649,0.102308
-3.148438,-0.996323,-1.000000,-0.893555,0.003677,0.102768
-3.144531,-0.996294,-1.000000,-0.893066,0.003706,0.103227
-3.140625,-0.996265,-1.000000,-0.892578,0.003735,0.103687
-3.136719,-0.996236,-1.000000,-0.892090,0.003764,0.104146
-3.132812,-0.996206,-1.000000,-0.891602,0.003794,0.104605
-3.128906,-0.996176,-1.000000,-0.891113,0.003824,0.105063
-3.125000,-0.996147,-1.000000,-0.890625,0.003853,0.105522
-3.121094,-0.996116,-1.000000,-0.890137,0.003884,0.105980
-3.117188,-0.996086,-1.000000,-0.889648,0.003914,0.106438
